================ Training Loss (Sun Feb 28 11:25:05 2021) ================
(epoch: 13, iters: 80, time: 0.095, data: 1.004) loss: 1.395 
(epoch: 13, iters: 160, time: 0.095, data: 0.000) loss: 1.640 
(epoch: 13, iters: 240, time: 0.096, data: 0.000) loss: 1.598 
(epoch: 13, iters: 320, time: 0.096, data: 0.014) loss: 1.584 
(epoch: 13, iters: 400, time: 0.093, data: 0.000) loss: 1.762 
(epoch: 13, iters: 480, time: 0.095, data: 0.000) loss: 1.756 
(epoch: 14, iters: 80, time: 0.095, data: 0.838) loss: 1.522 
(epoch: 14, iters: 160, time: 0.095, data: 0.000) loss: 2.080 
(epoch: 14, iters: 240, time: 0.095, data: 0.004) loss: 1.624 
(epoch: 14, iters: 320, time: 0.094, data: 0.009) loss: 1.801 
(epoch: 14, iters: 400, time: 0.095, data: 0.000) loss: 1.241 
(epoch: 14, iters: 480, time: 0.095, data: 0.004) loss: 1.817 
(epoch: 15, iters: 80, time: 0.095, data: 0.874) loss: 1.697 
(epoch: 15, iters: 160, time: 0.094, data: 0.006) loss: 1.652 
(epoch: 15, iters: 240, time: 0.095, data: 0.000) loss: 1.301 
(epoch: 15, iters: 320, time: 0.098, data: 0.010) loss: 1.286 
(epoch: 15, iters: 400, time: 0.094, data: 0.004) loss: 1.363 
(epoch: 15, iters: 480, time: 0.095, data: 0.000) loss: 1.380 
(epoch: 16, iters: 80, time: 0.100, data: 1.006) loss: 1.360 
(epoch: 16, iters: 160, time: 0.097, data: 0.000) loss: 1.625 
(epoch: 16, iters: 240, time: 0.096, data: 0.000) loss: 1.362 
(epoch: 16, iters: 320, time: 0.100, data: 0.014) loss: 1.175 
(epoch: 16, iters: 400, time: 0.095, data: 0.000) loss: 1.308 
(epoch: 16, iters: 480, time: 0.095, data: 0.000) loss: 1.484 
(epoch: 17, iters: 80, time: 0.098, data: 0.780) loss: 1.490 
(epoch: 17, iters: 160, time: 0.094, data: 0.004) loss: 1.426 
(epoch: 17, iters: 240, time: 0.095, data: 0.000) loss: 1.346 
(epoch: 17, iters: 320, time: 0.097, data: 0.008) loss: 1.355 
(epoch: 17, iters: 400, time: 0.094, data: 0.004) loss: 1.185 
(epoch: 17, iters: 480, time: 0.095, data: 0.000) loss: 1.622 
(epoch: 18, iters: 80, time: 0.096, data: 0.896) loss: 1.336 
(epoch: 18, iters: 160, time: 0.098, data: 0.000) loss: 1.945 
(epoch: 18, iters: 240, time: 0.098, data: 0.000) loss: 1.289 
